;Symphony orchestra instruments /Western musical instruments;;Parts of the instrument;;Typical wood species used for the instruments;;;;;;
;Instrument groups;Instruments;;;Trade name;Latin name (hier kommt noch die Unterscheidung Family, Genus, Species);;;IUCN Red list of protected species;CITES regulation;Occurance
;;;Main part;Subpart;;Family;Genus;Species;;;
;String instruments;Violin, viola, cello, double bass;Belly;;spruce;Pinaceae;Picea ;abies;LC;-;
;;;Back and Ribs;;maple;Sapindaceae;Acer ;pseudoplatanus;LC;-;
;;;;;poplar/cottenwood;Salicaceae;Populus;alba;LC;-;
;;;Neck/ head;Scroll;maple;Sapindaceae;Acer ;pseudoplatanus;LC;-;
;;;;Lionhead;pear;Rosaceae;Pyrus ;communis;LC;-;
;;;Purfling;;maple;Sapindaceae;Acer ;pseudoplatanus;LC;-;
;;;;;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
;;;;;pear;Rosaceae;Pyrus ;communis;LC;-;
;;;;;walnut (stained);Juglandaceae;Juglans;regia;;-;
;;;Soundpost and bassbar;;spruce;Pinaceae (Subfamilia: Piceoideae);Picea ;abies;LC;-;
;;;Bridge;;maple;Sapindaceae;Acer ;pseudoplatanus;LC;-;
;;;Fingerboard;;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
;;;Upper nut and lower nut;;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
;;;Tailpiece, chinrest, pegs, endpin;;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
;;;;;palisander;Leguminosae / Fabaceae;Dalbergia spp.;;;Appendix II;
;;;;;boxwood;Buxaceae;Buxus ;sempervirens;LC;-;
;;;Decorations on Tailpiece and pegs;;mother of pearl (Makasssar);Pteriidae;Pinctada ;maxima;?;-;
;;;;;mother of pearl - abalone (Haliotis spp.);Haliotidae;Haliotis spp.;;?;-;
;;;;;mother of pearl - paua abalone;Haliotidae;Haliotis ;iris;?;-;
;;;;;mother of pearl - abaloneass's-ear abalone;Haliotidae;Haliotis ;asinina;?;-;
;;;Glue;;bone/skin;;;;;-;
;;;Varnish;;oil of turpentine;Pinaceae (Subfamilia: Pinoideae);Pinus L.;;;-;
;;;;;Shellac;Kerriidae;Kerria ;lacca;;-;
;;;;;Cochineal;Dactylopiidae;Dactylopius ;coccus;;-;
;;;;;benzoe;Styracaceae;Styrax spp.;;;-;
;;String instrument bow;stick;modern bow model (good - very good quality);pernambuc wood/pau-brasil;Fabaceae;Paubrasilia ;echinata;;Appendix II;
;;;;modern bow model (low quality);brazilwood;Sapotaceae;Manilkara ;kauki;;-;
;;;;baroque bow model;snakewood;Moraceae;Brosimum ;guianense;;-;
;;;tip plate;;bone;;;;;-;
;;;;;ivory (african elephant);Elephantidae;Loxodonta;;;Appendix I;
;;;;;ivory (asiatic elephant);Elephantidae;Elephas;;;Appendix I;
;;;;;mammut ivory;Elephantidae;Mammuthus;;;-;
;;;frog (Beinchen, Froschauge, Schub, Ringchen);;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
;;;;;ivory (african elephant);Elephantidae;Loxodonta;;;Appendix I;
;;;;;ivory (asiatic elephant);Elephantidae;Elephas;;;Appendix I;
;;;;;mammut ivory;Elephantidae;Mammuthus;;;-;
;;;;;tortoiseshell;Cheloniidae;Eretmochelys ;imbricata;;Appendix I;
;;;parisien eye?, eye?, slide and decorations;;mother of pearl (Makasssar);Pteriidae;Pinctada ;maxima;;-;
;;;;;mother of pearl - abalone (Haliotis spp.);Haliotidae;Haliotis spp.;;;-;
;;;;;mother of pearl - paua abalone;Haliotidae;Haliotis ;iris;;-;
;;;;;mother of pearl - abaloneass's-ear abalone;Haliotidae;Haliotis ;asinina;;-;
;;;;;silk;Bombycidae;Bombyx ;mori;;-;
;;;;;whalebone (barte?);Mysticeti;;;;Appendix I?;
;;;thumb cushion;;leather;;;;;-;
;;;;;snakeskin;;;;;Appendix I?;
;;;;;crocodil skin?;;;;;Appendix I?;
;;;bow hair;;horshair (white, black, mixed);Equidae;Equus ;caballus;;-;
;;;Raisin (colophony);;;;;;;-;
