ID;Instrument groups;Instruments;Main part;Subpart;Trade name;Family;Genus;Species;IUCN Red list of protected species;CITES regulation;Occurance
1;String instruments;Violin, viola, cello, double bass;Belly;;spruce;Pinaceae;Picea ;abies;LC;-;
2;String instruments;Violin, viola, cello, double bass;Back and Ribs;;maple;Sapindaceae;Acer ;pseudoplatanus;LC;-;
3;String instruments;Violin, viola, cello, double bass;Back and Ribs;;poplar/cottenwood;Salicaceae;Populus;alba;LC;-;
4;String instruments;Violin, viola, cello, double bass;Neck/ head;Scroll;maple;Sapindaceae;Acer ;pseudoplatanus;LC;-;
5;String instruments;Violin, viola, cello, double bass;Neck/ head;Lionhead;pear;Rosaceae;Pyrus ;communis;LC;-;
6;String instruments;Violin, viola, cello, double bass;Purfling;;maple;Sapindaceae;Acer ;pseudoplatanus;LC;-;
7;String instruments;Violin, viola, cello, double bass;Purfling;;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
8;String instruments;Violin, viola, cello, double bass;Purfling;;pear;Rosaceae;Pyrus ;communis;LC;-;
9;String instruments;Violin, viola, cello, double bass;Purfling;;walnut (stained);Juglandaceae;Juglans;regia;;-;
10;String instruments;Violin, viola, cello, double bass;Soundpost and bassbar;;spruce;Pinaceae (Subfamilia: Piceoideae);Picea ;abies;LC;-;
11;String instruments;Violin, viola, cello, double bass;Bridge;;maple;Sapindaceae;Acer ;pseudoplatanus;LC;-;
12;String instruments;Violin, viola, cello, double bass;Fingerboard;;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
13;String instruments;Violin, viola, cello, double bass;Upper nut and lower nut;;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
14;String instruments;Violin, viola, cello, double bass;Tailpiece, chinrest, pegs, endpin;;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
15;String instruments;Violin, viola, cello, double bass;Tailpiece, chinrest, pegs, endpin;;palisander;Leguminosae / Fabaceae;Dalbergia spp.;;;Appendix II;
16;String instruments;Violin, viola, cello, double bass;Tailpiece, chinrest, pegs, endpin;;boxwood;Buxaceae;Buxus ;sempervirens;LC;-;
17;String instruments;Violin, viola, cello, double bass;Decorations on Tailpiece and pegs;;mother of pearl (Makasssar);Pteriidae;Pinctada ;maxima;?;-;
18;String instruments;Violin, viola, cello, double bass;;;mother of pearl - abalone (Haliotis spp.);Haliotidae;Haliotis spp.;;?;-;
19;String instruments;Violin, viola, cello, double bass;;;mother of pearl - paua abalone;Haliotidae;Haliotis ;iris;?;-;
20;String instruments;Violin, viola, cello, double bass;;;mother of pearl - abaloneass's-ear abalone;Haliotidae;Haliotis ;asinina;?;-;
21;String instruments;Violin, viola, cello, double bass;Glue;;bone/skin;;;;;-;
22;String instruments;Violin, viola, cello, double bass;Varnish;;oil of turpentine;Pinaceae (Subfamilia: Pinoideae);Pinus L.;;;-;
23;String instruments;Violin, viola, cello, double bass;Varnish;;Shellac;Kerriidae;Kerria ;lacca;;-;
24;String instruments;Violin, viola, cello, double bass;Varnish;;Cochineal;Dactylopiidae;Dactylopius ;coccus;;-;
25;String instruments;Violin, viola, cello, double bass;Varnish;;benzoe;Styracaceae;Styrax spp.;;;-;
26;String instruments;String instrument bow;stick;modern bow model (good - very good quality);pernambuc wood/pau-brasil;Fabaceae;Paubrasilia ;echinata;;Appendix II;
27;String instruments;String instrument bow;stick;modern bow model (low quality);brazilwood;Sapotaceae;Manilkara ;kauki;;-;
28;String instruments;String instrument bow;stick;baroque bow model;snakewood;Moraceae;Brosimum ;guianense;;-;
29;String instruments;String instrument bow;tip plate;;bone;;;;;-;
30;String instruments;String instrument bow;tip plate;;ivory (african elephant);Elephantidae;Loxodonta;;;Appendix I;
31;String instruments;String instrument bow;;;ivory (asiatic elephant);Elephantidae;Elephas;;;Appendix I;
32;String instruments;String instrument bow;;;mammut ivory;Elephantidae;Mammuthus;;;-;
33;String instruments;String instrument bow;frog (Beinchen, Froschauge, Schub, Ringchen);;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
34;String instruments;String instrument bow;frog (Beinchen, Froschauge, Schub, Ringchen);;ivory (african elephant);Elephantidae;Loxodonta;;;Appendix I;
35;String instruments;String instrument bow;frog (Beinchen, Froschauge, Schub, Ringchen);;ivory (asiatic elephant);Elephantidae;Elephas;;;Appendix I;
36;String instruments;String instrument bow;frog (Beinchen, Froschauge, Schub, Ringchen);;mammut ivory;Elephantidae;Mammuthus;;;-;
37;String instruments;String instrument bow;frog (Beinchen, Froschauge, Schub, Ringchen);;tortoiseshell;Cheloniidae;Eretmochelys ;imbricata;;Appendix I;
38;String instruments;String instrument bow;parisien eye?, eye?, slide and decorations;;mother of pearl (Makasssar);Pteriidae;Pinctada ;maxima;;-;
39;String instruments;String instrument bow;parisien eye?, eye?, slide and decorations;;mother of pearl - abalone (Haliotis spp.);Haliotidae;Haliotis spp.;;;-;
40;String instruments;String instrument bow;parisien eye?, eye?, slide and decorations;;mother of pearl - paua abalone;Haliotidae;Haliotis ;iris;;-;
41;String instruments;String instrument bow;parisien eye?, eye?, slide and decorations;;mother of pearl - abaloneass's-ear abalone;Haliotidae;Haliotis ;asinina;;-;
42;String instruments;String instrument bow;;;silk;Bombycidae;Bombyx ;mori;;-;
43;String instruments;String instrument bow;;;whalebone (barte?);Mysticeti;;;;Appendix I?;
44;String instruments;String instrument bow;thumb cushion;;leather;;;;;-;
45;String instruments;String instrument bow;thumb cushion;;snakeskin;;;;;Appendix I?;
46;String instruments;String instrument bow;thumb cushion;;crocodil skin?;;;;;Appendix I?;
47;String instruments;String instrument bow;bow hair;;horshair (white, black, mixed);Equidae;Equus ;caballus;;-;
48;String instruments;String instrument bow;Raisin (colophony);;;;;;;-;
49;Woodwind instruments (reed driven instruments);Recorder family;Corpus;;rosewood/palisander;Leguminosae / Fabaceae;Dalbergia spp.;;;Appendix II;
50;Woodwind instruments (reed driven instruments);Recorder family;Corpus;;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
51;Woodwind instruments (reed driven instruments);Recorder family;Corpus;;grenadill;Leguminosae / Fabaceae;Dalbergia ;melanoxylon;;Appendix II;
52;Woodwind instruments (reed driven instruments);Recorder family;Corpus;;zeder;Pinaceae;Cedrus;;;-;
53;Woodwind instruments (reed driven instruments);Recorder family;Corpus;;Birne;Rosaceae;Pyrus;communis;;-;
54;Woodwind instruments (reed driven instruments);Recorder family;Corpus;;Pflaume;Rosaceae;Prunus;domestica;;-;
55;Woodwind instruments (reed driven instruments);Recorder family;Corpus;;Ahorn;Sapindaceae;Acer;;;-;
56;Woodwind instruments (reed driven instruments);Recorder family;Corpus;;Olive;Oleaceae;Olea ;europaea;;-;
57;Woodwind instruments (reed driven instruments);Recorder family;Corpus;;Buche;Fagaceae;Fagus;;;-;
58;Woodwind instruments (reed driven instruments);Recorder family;Corpus;;boxwood;Buxaceae;Buxus ;sempervirens;;-;
59;Woodwind instruments (reed driven instruments);Recorder family;Connection of corpus parts;;cork oak;Fagaceae;Quercus ;suber;;-;
60;Woodwind instruments (reed driven instruments);Flute family (Piccolo, Flute);;;grenadill;Leguminosae / Fabaceae;Dalbergia ;melanoxylon;;Appendix II;
61;Woodwind instruments (reed driven instruments);Family of oboes (Piccolo oboe, Regular oboe, oboes d'amore, English horn/cor anglais, Bass oboe, Hecklephone);;;grenadill;Leguminosae / Fabaceae;Dalbergia ;melanoxylon;;Appendix II;
62;Woodwind instruments (reed driven instruments);Family of clarinets (Eb clarinet, Bb clarinet, A clarinet, bass clarinet, contrabass clarinett);;;grenadill;Leguminosae / Fabaceae;Dalbergia ;melanoxylon;;Appendix II;
63;Woodwind instruments (reed driven instruments);;;;mopane;Fabaceae;Colophospermum;mopane;;-;
64;Woodwind instruments (reed driven instruments);;;;bubinga;Fabaceae;Guibourtia;;;"Appendix II (Guibourtia demeusei, Guibourtia pellegriniana, Guibourtia tessmannii)";
65;Woodwind instruments (reed driven instruments);;;;boxwood;Buxaceae;Buxus ;sempervirens;;-;
66;Woodwind instruments (reed driven instruments);;;;cocobolo;Fabaceae;Dalbergia ;retusa;;Appendix II;
67;Woodwind instruments (reed driven instruments);;;;ebony;Ebenaceae;Diospyros spp.;;;Appendix II (populations of Madagascar);
68;Woodwind instruments (reed driven instruments);;;;rosewood;Fabaceae;Dalbergia spp.;;;Appendix II;
69;Woodwind instruments (reed driven instruments);;;;kingwood;;;;;;
70;Woodwind instruments (reed driven instruments);;;;amarant;;;;;;
71;Woodwind instruments (reed driven instruments);;;;Jatoba;;;;;;
