Land;Kategorie;Kriterium;Regionaler Status;Kommentar;Interpretierter Status;URL
;Pr;;;;;http://www.profepa.gob.mx/innovaportal/file/435/1/NOM_059_SEMARNAT_2010.pdf
;Data Deficient (DD);;;;;http://www.biodic.go.jp/english/rdb/rdb_f.html
;*;;;;;http://www.nationalredlist.org/species-information/?speciesID=254291
;*;;;;;http://www.nationalredlist.org/species-information/?speciesID=312140
;*;;;;;http://www.nationalredlist.org/species-information/?speciesID=253038
;LR/lc;;;;;http://www.nationalredlist.org/species-information/?speciesID=28870
;LR/lc;;;;;http://www.iucnredlist.org/details/34641/0
;LR/lc;;;;;http://www.iucnredlist.org/details/32148/0
;LR/lc;;;;;http://www.iucnredlist.org/details/33471/0
;LR/lc;;;;;http://www.iucnredlist.org/details/32174/0
;LR/lc;;;;;http://www.iucnredlist.org/details/31287/0
;LR/lc;;;;;http://www.iucnredlist.org/details/31447/0
;LR/lc;;;;;http://www.iucnredlist.org/details/34519/0
;LR/lc;;;;;http://www.iucnredlist.org/details/36308/0
;LR/lc;;;;;http://www.iucnredlist.org/details/31448/0
;LR/lc;;;;;http://www.iucnredlist.org/details/31449/0
;LR/lc;;;;;http://www.iucnredlist.org/details/31455/0
;LR/lc;;;;;http://www.iucnredlist.org/details/31457/0
;LR/lc;;;;;http://www.iucnredlist.org/details/34520/0
;LR/lc;;;;;http://www.iucnredlist.org/details/31827/0
;LR/lc;;;;;http://www.iucnredlist.org/details/31460/0
;LR/lc;;;;;http://www.iucnredlist.org/details/37847/0
;LR/lc;;;;;http://www.iucnredlist.org/details/31461/0
;LR/lc;;;;;http://www.iucnredlist.org/details/37845/0
;LR/lc;;;;;http://www.iucnredlist.org/details/37841/0
;LR/lc;;;;;http://www.iucnredlist.org/details/36310/0
;LR/lc;;;;;http://www.iucnredlist.org/details/31463/0
;LR/lc;;;;;http://www.iucnredlist.org/details/31464/0
;LR/lc;;;;;http://www.iucnredlist.org/details/38393/0
;Threatened;;;;;http://freshfromflorida.s3.amazonaws.com/fl-endangered-plants.pdf
;Threatened;;;;;https://vicflora.rbg.vic.gov.au
;Threatened;;;;;None
;DD;;;;;http://www.zhb.gov.cn/gkml/hbb/bgg/201309/W020130917614244055331.pdf
;DD;;;;;https://tesri.tesri.gov.tw/view.php?catid=3194
;DD;;;;;https://uicn.fr/wp-content/uploads/2019/12/liste_rouge_flore_vasculaire_de_guadeloupe.pdf
;DD;;;;;http://www.iucnredlist.org/details/50135950/0
;DD;;;;;http://www.iucnredlist.org/details/32296/0
;DD;;;;;https://www.bgci.org/files/Global_Trees_Campaign/Betulaceae/Betulace8%20FINAL.pdf
;DD;;;;;http://www.iucnredlist.org/details/194625/0
;DD;;;;;http://www.iucnredlist.org/details/194273/0
;DD;;;;;http://www.iucnredlist.org/details/51207347/0
;DD;;;;;http://www.iucnredlist.org/details/194666/0
;DD;;;;;http://www.iucnredlist.org/details/51207600/0
;DD;;;;;http://www.iucnredlist.org/details/194549/0
;DD;;;;;http://www.iucnredlist.org/details/194591/0
;DD;;;;;http://www.iucnredlist.org/details/194568/0
;DD;;;;;http://www.iucnredlist.org/details/194573/0
;DD;;;;;http://www.iucnredlist.org/details/194652/0
;DD;;;;;http://www.iucnredlist.org/details/194575/0
;DD;;;;;http://www.iucnredlist.org/details/194674/0
;DD;;;;;http://www.iucnredlist.org/details/194622/0
;DD;;;;;http://www.iucnredlist.org/details/194832/0
;DD;;;;;http://www.iucnredlist.org/details/194523/0
;DD;;;;;http://www.iucnredlist.org/details/194680/0
;DD;;;;;http://www.iucnredlist.org/details/51208473/0
;DD;;;;;http://www.iucnredlist.org/details/194558/0
;DD;;;;;http://www.iucnredlist.org/details/63463/0
;DD;;;;;http://www.iucnredlist.org/details/194254/0
;DD;;;;;http://www.iucnredlist.org/details/194537/0
;DD;;;;;http://www.iucnredlist.org/details/194564/0
;DD;;;;;http://www.iucnredlist.org/details/194670/0
;DD;;;;;https://www.env.go.jp/press/105504.html
;DD;;;;;None
;DD;;;;;http://www.bgci.org/files/Worldwide/News/sepdec09/maples_red_list.pdf
;DD;;;;;http://www.iucnredlist.org/details/36539/0
;DD;;;;;http://www.iucnredlist.org/details/33171/0
;DD;;;;;http://www.iucnredlist.org/details/158113/0
;DD;;;;;http://www.jstor.org/stable/4120631
;DD;;;;;http://www.iucnredlist.org/details/33920/0
;DD;;;;;http://www.nationalredlist.org/species-information/?speciesID=288478
;DD;;;;;http://www.nationalredlist.org/species-information/?speciesID=290393
;DD;;;;;https://www.bafu.admin.ch/uv-1621-f
;DD;;;;;http://www.iucnredlist.org/details/81357846/0
;DD;;;;;https://researchonline.jcu.edu.au/38024/1/Plant%20endemism_Palau_Costion_2009.pdf
;DD;;;;;http://www.iucnredlist.org/details/37920/0
;DD;;;;;http://www.iucnredlist.org/details/202752/0
;DD;;;;;http://www.iucnredlist.org/details/37919/0
;DD;;;;;http://www.iucnredlist.org/details/30743/0
;DD;;;;;http://www.iucnredlist.org/details/19892293/0
;DD;;;;;http://www.iucnredlist.org/details/34552/0
;Near Threatened;;;;;https://www.iucnredlist.org/species/33352/68067675
;Near Threatened;;;;;https://www.iucnredlist.org/species/32519/68104916
;Near Threatened;;;;;https://www.iucnredlist.org/species/62027812/62027814
;Near Threatened;;;;;https://www.iucnredlist.org/species/46387/3005960
;Near Threatened;;;;;https://www.iucnredlist.org/species/193846/2285717
;Near Threatened;;;;;https://www.iucnredlist.org/species/191462/1984089
